    101  !  (c)  2019  Oklahoma  Climatological  Survey  and  the  Oklahoma  Mesonet  -  all  rights  reserved
	21  2019  09  28  00  00  00
  STID    STNM    TIME      RELH      TAIR      WSPD      WVEC    WDIR      WDSD      WSSD      WMAX        RAIN          PRES    SRAD      TA9M      WS2M      TS10      TB10      TS05      TS25      TS60        TR05        TR25        TR60
  ACME      110          0      -996      -996      -996      -996    -996      -996      -996      -996        -996          -996    -996      -996      -996      -999      -999      -999      -999      -999        -999        -999        -999
  ADAX          1          0          39      10.5        1.9        1.9      213        5.2        0.2        2.3        0.00      978.90          2      12.7        0.3        7.8        9.1        8.5        7.0      -998        1.52        1.51        -998
  ALTU          2          0          34      11.9        4.4        4.4      174        2.9        0.2        4.8        0.00      964.18          5      13.3        2.4        7.3        8.1        8.2        6.3      -998        2.14        1.58        -998
  ALV2      116          0          26      13.1        4.4        4.4      224        6.4        0.5        5.6        0.00      957.42          2      14.2        3.0        5.0        6.6        5.6        4.7      -998        1.52        1.41        -998
  ANT2      135          0          53        7.9        0.6        0.6      182        8.1        0.2        0.8        0.25      994.13          1      11.8        0.0        7.9        9.5        8.1        7.6        8.7        1.58        1.38        1.34
  APAC      111          0          41      10.4        5.0        5.0      198        4.4        0.3        6.0        0.00      961.66          3      11.8        3.0        6.4        7.6        9.1        6.2        6.9        1.60        1.50        1.72
  ARD2      126          0          41        9.8        2.3        2.3      220        3.0        0.2        2.7        0.00      982.88          3      13.1        1.4        7.7        8.6        8.8        6.8        8.6        1.65        1.41        1.57
  ARNE          6          0          24      12.3        3.4        3.3      211        8.1        0.4        4.4        0.00      927.38          3      13.2        1.7        5.7        7.2        6.5        4.2        6.1        1.96        1.92        2.11
  BEAV          8          0          28      10.4        5.3        5.3      204        4.4        0.4        6.2        0.00      921.22          4      11.8        2.7        5.2        5.2      -999        3.9        5.7        1.93        1.90        2.05
  BESS          9          0          32      11.4        4.4        4.4      198        5.5        0.4        5.6        0.00      952.36          3      12.5        2.6        7.7        9.8        8.5        5.8      -998        1.96        1.44        -998
